Date,Open,High,Low,Close,Adj Close,Volume,MACD,MACD_Signal,RSI,Buy_Signal,Sell_Signal,Position,Trade,Portfolio
2020-01-02,74.05999755859375,75.1500015258789,73.79750061035156,75.0875015258789,72.96046447753906,135480400,,,,0,0,0,0,10000.0
2020-01-03,74.2874984741211,75.1449966430664,74.125,74.35749816894531,72.25115203857422,146322800,,,,0,0,0,0,10000.0
2020-01-06,73.44750213623047,74.98999786376953,73.1875,74.94999694824219,72.82685852050781,118387200,,,,0,0,0,0,10000.0
2020-01-07,74.95999908447266,75.2249984741211,74.37000274658203,74.59750366210938,72.48433685302734,108872000,,,,0,0,0,0,10000.0
2020-01-08,74.29000091552734,76.11000061035156,74.29000091552734,75.79750061035156,73.65035247802734,132079200,,,,0,0,0,0,10000.0
2020-01-09,76.80999755859375,77.60749816894531,76.55000305175781,77.40750122070312,75.21475219726562,170108400,,,,0,0,0,0,10000.0
2020-01-10,77.6500015258789,78.1675033569336,77.0625,77.5824966430664,75.3847885131836,140644800,,,,0,0,0,0,10000.0
2020-01-13,77.91000366210938,79.26750183105469,77.7874984741211,79.23999786376953,76.99532318115234,121532000,,,,0,0,0,0,10000.0
2020-01-14,79.17500305175781,79.39250183105469,78.0425033569336,78.16999816894531,75.95564270019531,161954400,,,,0,0,0,0,10000.0
2020-01-15,77.9625015258789,78.875,77.38749694824219,77.83499908447266,75.6301498413086,121923600,,,,0,0,0,0,10000.0
2020-01-16,78.39749908447266,78.92500305175781,78.02249908447266,78.80999755859375,76.5775146484375,108829200,,,,0,0,0,0,10000.0
2020-01-17,79.06749725341797,79.68499755859375,78.75,79.68250274658203,77.42528533935547,137816400,,,,0,0,0,0,10000.0
2020-01-21,79.29750061035156,79.75499725341797,79.0,79.14250183105469,76.90059661865234,110843200,,,,0,0,0,0,10000.0
2020-01-22,79.6449966430664,79.99749755859375,79.32749938964844,79.42500305175781,77.17509460449219,101832400,,,70.82065732590162,0,0,0,0,10000.0
